;Background
REGIONNAME City of Derry
smrGreen N055.02.50.496 W007.09.45.462
N055.02.25.625 W007.10.02.472
N055.02.25.603 W007.10.01.981
N055.02.25.521 W007.10.01.374
N055.02.25.435 W007.10.01.038
N055.02.25.268 W007.10.00.487
N055.02.25.088 W007.10.00.012
N055.02.24.825 W007.09.59.669
N055.02.24.490 W007.09.59.354
N055.02.24.243 W007.09.59.200
N055.02.23.536 W007.09.58.544
N055.02.22.500 W007.09.57.601
N055.02.22.396 W007.09.57.540
N055.02.22.200 W007.09.57.480
N055.02.21.616 W007.09.56.884
N055.02.21.524 W007.09.56.685
N055.02.21.366 W007.09.56.537
N055.02.21.180 W007.09.56.355
N055.02.21.022 W007.09.56.244
N055.02.20.921 W007.09.56.217
N055.02.20.829 W007.09.56.266
N055.02.20.680 W007.09.56.426
N055.02.20.279 W007.09.57.082
N055.02.19.286 W007.09.58.930
N055.02.19.115 W007.09.59.388
N055.02.18.985 W007.09.59.752
N055.02.18.910 W007.10.00.110
N055.02.18.850 W007.10.00.391
N055.02.18.818 W007.10.00.656
N055.02.17.662 W007.10.02.172
N055.02.17.419 W007.10.01.979
N055.02.17.264 W007.10.01.913
N055.02.16.999 W007.10.01.946
N055.02.16.793 W007.10.01.990
N055.02.16.572 W007.10.02.028
N055.02.16.386 W007.10.02.122
N055.02.16.174 W007.10.02.216
N055.02.16.041 W007.10.02.320
N055.02.14.881 W007.10.03.172
N055.02.14.704 W007.10.03.413
N055.02.14.620 W007.10.03.675
N055.02.14.597 W007.10.03.883
N055.02.14.620 W007.10.04.144
N055.02.14.662 W007.10.04.319
N055.02.14.758 W007.10.04.507
N055.02.14.873 W007.10.04.641
N055.02.14.977 W007.10.04.674
N055.02.15.135 W007.10.04.614
N055.02.15.277 W007.10.04.513
N055.02.15.377 W007.10.04.366
N055.02.15.554 W007.10.04.259
N055.02.15.919 W007.10.05.897

;Main Apron
REGIONNAME City of Derry
smrGDapron N055.02.25.168 W007.09.17.813
N055.02.25.854 W007.09.19.061
N055.02.26.297 W007.09.19.701
N055.02.26.493 W007.09.20.041
N055.02.26.587 W007.09.20.165
N055.02.26.676 W007.09.20.248
N055.02.26.865 W007.09.20.330
N055.02.27.892 W007.09.20.703
N055.02.27.207 W007.09.26.368
N055.02.26.817 W007.09.29.526
N055.02.26.852 W007.09.29.643
N055.02.26.574 W007.09.31.841
N055.02.24.983 W007.09.31.212
N055.02.23.142 W007.09.30.473
N055.02.22.699 W007.09.30.318
N055.02.22.486 W007.09.32.144
N055.02.22.415 W007.09.31.814
N055.02.22.308 W007.09.31.567
N055.02.22.208 W007.09.31.381
N055.02.22.084 W007.09.31.340
N055.02.21.983 W007.09.31.298
N055.02.21.865 W007.09.31.267
N055.02.21.770 W007.09.31.443
N055.02.21.670 W007.09.31.577
N055.02.21.510 W007.09.31.629
N055.02.21.380 W007.09.31.567
N055.02.21.250 W007.09.31.464
N055.02.21.126 W007.09.31.133
N055.02.21.073 W007.09.30.927
N055.02.20.404 W007.09.25.850
N055.02.21.303 W007.09.26.108
N055.02.22.799 W007.09.26.614
