;DGX Perimeter
REGIONNAME St Athan
N051.24.18.876 W003.26.23.570
N051.24.18.583 W003.26.23.502
N051.24.18.328 W003.26.23.437
N051.24.18.077 W003.26.23.356
N051.24.17.779 W003.26.23.244
N051.24.17.390 W003.26.23.094
N051.24.16.788 W003.26.22.841
N051.24.15.893 W003.26.22.395
N051.24.15.725 W003.26.22.320
N051.24.15.570 W003.26.22.320
N051.24.15.429 W003.26.22.369
N051.24.15.320 W003.26.22.460
N051.24.15.233 W003.26.22.664
N051.24.15.617 W003.26.20.654
N051.24.15.639 W003.26.20.964
N051.24.15.701 W003.26.21.193
N051.24.15.822 W003.26.21.370
N051.24.15.988 W003.26.21.532
N051.24.16.321 W003.26.21.758
N051.24.16.955 W003.26.22.068
N051.24.18.044 W003.26.22.512
N051.24.18.341 W003.26.22.624
N051.24.18.770 W003.26.22.731
N051.24.19.373 W003.26.22.860
N051.24.19.993 W003.26.22.971
N051.24.20.610 W003.26.23.053
N051.24.20.979 W003.26.23.078
N051.24.21.360 W003.26.23.070
N051.24.21.764 W003.26.23.030
N051.24.22.141 W003.26.22.983
N051.24.22.513 W003.26.22.927
N051.24.22.902 W003.26.22.832
N051.24.25.247 W003.26.22.264
N051.24.25.324 W003.26.23.070
N051.24.23.344 W003.26.23.539

;Taxiway G
REGIONNAME St Athan
smrmiltaxiway N051.24.31.208 W003.25.46.225
N051.24.31.121 W003.25.46.141
N051.24.30.928 W003.25.46.026
N051.24.30.570 W003.25.45.795
N051.24.29.989 W003.25.45.483
N051.24.28.856 W003.25.44.869
N051.24.28.394 W003.25.44.644
N051.24.27.929 W003.25.44.467
N051.24.27.477 W003.25.44.307
N051.24.26.715 W003.25.44.055
N051.24.25.662 W003.25.43.736
N051.24.25.057 W003.25.43.601
N051.24.24.520 W003.25.43.552
N051.24.24.160 W003.25.43.552
N051.24.23.719 W003.25.43.587
N051.24.23.399 W003.25.43.660
N051.24.22.592 W003.25.43.974
N051.24.22.767 W003.25.43.039
N051.24.22.841 W003.25.43.058
N051.24.22.941 W003.25.43.046
N051.24.23.675 W003.25.42.822
N051.24.24.001 W003.25.42.766
N051.24.24.365 W003.25.42.753
N051.24.24.671 W003.25.42.766
N051.24.25.022 W003.25.42.815
N051.24.25.591 W003.25.42.944
N051.24.27.208 W003.25.43.402
N051.24.28.243 W003.25.43.746
N051.24.28.925 W003.25.44.073
N051.24.29.673 W003.25.44.459
N051.24.30.484 W003.25.44.899
N051.24.31.882 W003.25.45.671

;Taxiway A
REGIONNAME St Athan
smrmiltaxiway N051.24.08.698 W003.26.44.868
N051.24.08.401 W003.26.44.657
N051.24.08.139 W003.26.44.332
N051.24.07.913 W003.26.43.986
