;Airfield Boundary
N056.22.12.340 W002.52.43.057
N056.22.11.940 W002.52.42.963
N056.22.11.600 W002.52.42.867
N056.22.11.197 W002.52.42.651
N056.22.10.886 W002.52.42.405
N056.22.10.506 W002.52.42.027
N056.22.10.159 W002.52.41.627
N056.22.09.735 W002.52.41.073
N056.22.09.340 W002.52.40.247
N056.22.09.036 W002.52.39.465
N056.22.08.818 W002.52.38.835
N056.22.08.640 W002.52.38.041
N056.22.08.461 W002.52.36.965
N056.22.08.373 W002.52.36.032
N056.22.08.343 W002.52.34.873
N056.22.08.607 W002.52.15.755
N056.22.08.662 W002.52.14.691
N056.22.08.762 W002.52.13.740
N056.22.08.895 W002.52.12.823
N056.22.09.101 W002.52.11.850
N056.22.09.303 W002.52.11.132
N056.22.09.602 W002.52.10.217
N056.22.09.845 W002.52.09.588
N056.22.10.164 W002.52.08.907
N056.22.10.493 W002.52.08.288
N056.22.10.895 W002.52.07.710
N056.22.11.495 W002.52.06.899
N056.22.19.276 W002.51.56.488
N056.22.19.560 W002.51.56.009
N056.22.19.799 W002.51.55.455
N056.22.19.989 W002.51.54.961
N056.22.20.195 W002.51.54.317
N056.22.20.310 W002.51.53.686
N056.22.21.076 W002.51.44.978
N056.22.21.124 W002.51.43.933
N056.22.21.130 W002.51.42.962
N056.22.21.119 W002.51.42.041
N056.22.21.104 W002.51.41.091
N056.22.20.715 W002.51.32.927
N056.22.20.744 W002.51.31.566
N056.22.20.779 W002.51.30.514
N056.22.20.831 W002.51.29.643
N056.22.20.899 W002.51.28.568
N056.22.21.028 W002.51.27.231
N056.22.21.205 W002.51.25.449
N056.22.22.525 W002.51.10.728
N056.22.22.619 W002.51.10.032
N056.22.22.743 W002.51.09.503
N056.22.22.889 W002.51.09.018
N056.22.22.983 W002.51.08.559
N056.22.22.992 W002.51.08.094
N056.22.22.975 W002.51.07.736
N056.22.22.772 W002.51.07.531
N056.22.21.573 W002.51.08.406
N056.22.21.131 W002.51.07.989
N056.22.21.014 W002.51.07.467
N056.22.20.329 W002.51.07.004
N056.22.19.841 W002.51.04.894
N056.22.20.253 W002.51.04.610
N056.22.20.171 W002.51.04.081
N056.22.20.917 W002.51.03.716
N056.22.21.388 W002.51.06.179
N056.22.22.256 W002.51.07.093
N056.22.22.686 W002.51.06.902
N056.22.22.779 W002.51.06.342
N056.22.21.356 W002.51.03.126
N056.22.21.161 W002.51.02.683
N056.22.21.001 W002.51.02.242
N056.22.20.898 W002.51.01.934
N056.22.20.641 W002.51.01.819
N056.22.20.250 W002.51.02.254
N056.22.19.790 W002.51.02.127
N056.22.19.572 W002.51.01.682
N056.22.18.855 W002.51.01.388
N056.22.18.169 W002.50.59.425
N056.22.18.517 W002.50.59.055
N056.22.18.306 W002.50.58.593
N056.22.18.980 W002.50.57.903
N056.22.19.723 W002.51.00.116
N056.22.20.375 W002.51.00.649
