;Blue_Background
REGIONNAME Belfast Aldergrove
smrBlue N054.43.51.592 W006.23.51.411
N054.39.44.772 W006.12.31.606
N054.39.44.609 W006.12.32.219
N054.39.44.552 W006.12.32.150
N054.39.44.564 W006.12.32.060
N054.39.44.324 W006.12.31.849
N054.39.44.083 W006.12.32.818
N054.39.44.395 W006.12.33.036
N054.39.44.420 W006.12.32.955
N054.39.44.466 W006.12.32.991
N054.39.44.410 W006.12.33.217
N054.39.44.007 W006.12.32.955
N054.39.43.705 W006.12.33.947
N054.39.42.127 W006.12.32.690
N054.39.41.914 W006.12.32.985
N054.39.41.748 W006.12.33.625
N054.39.41.628 W006.12.33.533
N054.39.41.860 W006.12.32.638
N054.39.41.857 W006.12.32.440
N054.39.41.319 W006.12.31.972
N054.39.41.496 W006.12.31.225
;Apron_DA2
REGIONNAME Belfast Aldergrove
black N054.38.45.254 W006.13.11.231
N054.38.45.504 W006.13.09.883
N054.38.45.735 W006.13.09.508
N054.38.46.005 W006.13.09.313
N054.38.46.444 W006.13.09.203
N054.38.50.361 W006.13.11.308
N054.38.50.509 W006.13.11.183
N054.38.50.604 W006.13.11.047
N054.38.51.051 W006.13.09.478
N054.38.51.306 W006.13.09.714
N054.38.50.789 W006.13.11.353
N054.38.50.793 W006.13.11.499
N054.38.50.819 W006.13.11.575
N054.38.51.257 W006.13.12.096
N054.38.51.446 W006.13.12.629
N054.38.51.511 W006.13.13.507
N054.38.51.348 W006.13.14.933
N054.38.51.409 W006.13.15.381
N054.38.45.046 W006.13.11.688
;(Simplifed2)_Apron_E_Centre
REGIONNAME Belfast Aldergrove
black N054.39.03.347 W006.13.21.643
N054.39.03.369 W006.13.20.955
N054.39.04.072 W006.13.20.773
N054.39.04.132 W006.13.21.058
N054.39.04.331 W006.13.21.154
N054.39.05.316 W006.13.19.854
N054.39.05.231 W006.13.19.300
N054.39.05.964 W006.13.18.454
N054.39.06.107 W006.13.18.689
N054.39.06.232 W006.13.18.734
N054.39.07.247 W006.13.17.380
N054.39.07.234 W006.13.17.095
N054.39.07.163 W006.13.16.909
N054.39.09.939 W006.13.13.820
N054.39.10.301 W006.13.13.906
N054.39.12.613 W006.13.10.918
N054.39.12.563 W006.13.10.484
