Coastline (Low Detail) S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000 geoDefault
; NOAA object 1
N055.55.04.948 W004.54.42.933 N055.54.05.801 W004.53.26.894 geoDefault
N055.54.05.801 W004.53.26.894 N055.54.05.801 W004.52.44.651 geoDefault
N055.54.05.801 W004.52.44.651 N055.54.22.706 W004.52.02.409 geoDefault
N055.54.22.706 W004.52.02.409 N055.54.48.043 W004.51.20.166 geoDefault
N055.54.48.043 W004.51.20.166 N055.56.12.528 W004.51.20.166 geoDefault
N055.56.12.528 W004.51.20.166 N056.02.58.061 W004.51.20.166 geoDefault
N056.02.58.061 W004.51.20.166 N056.01.25.130 W004.47.23.603 geoDefault
N056.01.25.130 W004.47.23.603 N056.00.00.645 W004.41.28.762 geoDefault
N056.00.00.645 W004.41.28.762 N055.57.20.121 W004.35.33.921 geoDefault
N055.57.20.121 W004.35.33.921 N055.56.12.528 W004.34.51.678 geoDefault
N055.56.12.528 W004.34.51.678 N055.55.30.286 W004.40.46.520 geoDefault
N055.55.30.286 W004.40.46.520 N055.52.32.870 W004.43.27.044 geoDefault
N055.52.32.870 W004.43.27.044 N055.49.10.104 W004.45.25.325 geoDefault
N055.49.10.104 W004.45.25.325 N055.45.47.337 W004.46.07.568 geoDefault
N055.45.47.337 W004.46.07.568 N055.42.49.922 W004.46.07.568 geoDefault
N055.42.49.922 W004.46.07.568 N055.39.52.493 W004.46.49.810 geoDefault
N055.39.52.493 W004.46.49.810 N055.36.55.077 W004.43.27.044 geoDefault
N055.36.55.077 W004.43.27.044 N055.33.57.648 W004.36.49.960 geoDefault
N055.33.57.648 W004.36.49.960 N055.27.29.020 W004.34.51.678 geoDefault
N055.27.29.020 W004.34.51.678 N055.21.51.081 W004.40.46.520 geoDefault
N055.21.51.081 W004.40.46.520 N055.13.32.604 W004.46.07.568 geoDefault
N055.13.32.604 W004.46.07.568 N055.05.14.140 W004.53.26.894 geoDefault
N055.05.14.140 W004.53.26.894 N055.00.01.538 W004.55.58.969 geoDefault
N055.00.01.538 W004.55.58.969 N054.54.15.153 W004.55.25.175 geoDefault
N054.54.15.153 W004.55.25.175 N054.57.37.919 W005.02.36.056 geoDefault
N054.57.37.919 W005.02.36.056 N054.54.15.153 W005.04.34.334 geoDefault
N054.54.15.153 W005.04.34.334 N054.47.21.161 W005.00.37.774 geoDefault
N054.47.21.161 W005.00.37.774 N054.39.44.940 W004.55.58.969 geoDefault
N054.39.44.940 W004.55.58.969 N054.37.29.767 W004.51.20.166 geoDefault
N054.37.29.767 W004.51.20.166 N054.38.12.009 W004.48.48.092 geoDefault
N054.38.12.009 W004.48.48.092 N054.46.38.918 W004.50.04.127 geoDefault
N054.46.38.918 W004.50.04.127 N054.48.54.105 W004.48.48.092 geoDefault
N054.48.54.105 W004.48.48.092 N054.49.44.793 W004.44.43.083 geoDefault
N054.49.44.793 W004.44.43.083 N054.47.04.269 W004.37.32.202 geoDefault
N054.47.04.269 W004.37.32.202 N054.41.43.221 W004.26.16.313 geoDefault
N054.41.43.221 W004.26.16.313 N054.40.10.291 W004.20.21.472 geoDefault
N054.40.10.291 W004.20.21.472 N054.43.58.394 W004.16.58.706 geoDefault
N054.43.58.394 W004.16.58.706 N054.48.54.105 W004.16.58.706 geoDefault
N054.48.54.105 W004.16.58.706 N054.49.19.442 W004.13.44.390 geoDefault
N054.49.19.442 W004.13.44.390 N054.47.46.512 W004.05.42.816 geoDefault
N054.47.46.512 W004.05.42.816 N054.47.46.512 W004.01.04.016 geoDefault
N054.47.46.512 W004.01.04.016 N054.47.21.161 W003.51.12.611 geoDefault
N054.47.21.161 W003.51.12.611 N054.49.19.442 W003.45.17.770 geoDefault
N054.49.19.442 W003.45.17.770 N054.50.52.386 W003.39.56.722 geoDefault
N054.50.52.386 W003.39.56.722 N054.51.09.278 W003.39.14.479 geoDefault
N054.51.09.278 W003.39.14.479 N054.52.25.317 W003.33.19.638 geoDefault
N054.52.25.317 W003.33.19.638 N054.54.15.153 W003.31.21.360 geoDefault
N054.54.15.153 W003.31.21.360 N054.56.55.677 W003.23.28.237 geoDefault
N054.56.55.677 W003.23.28.237 N054.56.30.326 W003.16.51.153 geoDefault
N054.56.30.326 W003.16.51.153 N054.56.13.434 W003.07.33.542 geoDefault
N054.56.13.434 W003.07.33.542 N054.55.22.733 W003.00.14.216 geoDefault
N054.55.22.733 W003.00.14.216 N054.53.32.910 W003.03.36.983 geoDefault
N054.53.32.910 W003.03.36.983 N054.53.32.910 W003.08.15.788 geoDefault
N054.53.32.910 W003.08.15.788 N054.51.34.629 W003.11.30.105 geoDefault
N054.51.34.629 W003.11.30.105 N054.48.54.105 W003.17.24.947 geoDefault
N054.48.54.105 W003.17.24.947 N054.43.58.394 W003.20.47.713 geoDefault
N054.43.58.394 W003.20.47.713 N054.38.12.009 W003.26.00.312 geoDefault
N054.38.12.009 W003.26.00.312 N054.32.25.610 W003.30.39.114 geoDefault
N054.32.25.610 W003.30.39.114 N054.27.29.913 W003.32.37.395 geoDefault
N054.27.29.913 W003.32.37.395 N054.22.51.107 W003.30.05.321 geoDefault
N054.22.51.107 W003.30.05.321 N054.19.19.895 W003.25.26.515 geoDefault
N054.19.19.895 W003.25.26.515 N054.17.04.709 W003.22.03.749 geoDefault
N054.17.04.709 W003.22.03.749 N054.12.00.566 W003.18.49.431 geoDefault
N054.12.00.566 W003.18.49.431 N054.11.18.323 W003.17.24.947 geoDefault
N054.11.18.323 W003.17.24.947 N054.13.08.159 W003.15.26.665 geoDefault
N054.13.08.159 W003.15.26.665 N054.12.00.566 W003.14.52.872 geoDefault
N054.12.00.566 W003.14.52.872 N054.09.20.042 W003.11.30.105 geoDefault
N054.09.20.042 W003.11.30.105 N054.04.41.236 W003.08.15.788 geoDefault
N054.04.41.236 W003.08.15.788 N054.06.14.167 W003.01.38.701 geoDefault
N054.06.14.167 W003.01.38.701 N054.07.47.111 W002.52.54.890 geoDefault
N054.07.47.111 W002.52.54.890 N054.13.08.159 W002.43.45.728 geoDefault
N054.13.08.159 W002.43.45.728 N054.12.00.566 W002.39.06.926 geoDefault
N054.12.00.566 W002.39.06.926 N054.08.12.448 W002.43.45.728 geoDefault
N054.08.12.448 W002.43.45.728 N054.03.08.306 W002.43.45.728 geoDefault
N054.03.08.306 W002.43.45.728 N053.56.56.570 W002.45.01.767 geoDefault
N053.56.56.570 W002.45.01.767 N053.53.25.344 W002.50.56.608 geoDefault
N053.53.25.344 W002.50.56.608 N053.45.57.568 W002.55.01.617 geoDefault
N053.45.57.568 W002.55.01.617 N053.45.06.880 W002.50.22.815 geoDefault
N053.45.06.880 W002.50.22.815 N053.43.59.287 W002.44.19.525 geoDefault
N053.43.59.287 W002.44.19.525 N053.38.55.144 W002.50.56.608 geoDefault
N053.38.55.144 W002.50.56.608 N053.32.34.948 W002.55.01.617 geoDefault
N053.32.34.948 W002.55.01.617 N053.28.38.399 W002.56.17.656 geoDefault
N053.28.38.399 W002.56.17.656 N053.25.32.524 W002.52.54.890 geoDefault
N053.25.32.524 W002.52.54.890 N053.23.59.594 W002.47.42.291 geoDefault
N053.23.59.594 W002.47.42.291 N053.22.18.203 W002.51.38.851 geoDefault
N053.22.18.203 W002.51.38.851 N053.17.14.061 W002.56.59.899 geoDefault
N053.17.14.061 W002.56.59.899 N053.17.39.398 W003.06.51.300 geoDefault
N053.17.39.398 W003.06.51.300 N053.17.14.061 W003.21.29.955 geoDefault
N053.17.14.061 W003.21.29.955 N053.17.56.303 W003.40.38.967 geoDefault
N053.17.56.303 W003.40.38.967 N053.12.52.147 W003.55.09.174 geoDefault
N053.12.52.147 W003.55.09.174 N053.05.15.926 W004.09.39.381 geoDefault
N053.05.15.926 W004.09.39.381 N052.57.48.150 W004.21.37.513 geoDefault
N052.57.48.150 W004.21.37.513 N052.49.21.227 W004.34.51.678 geoDefault
N052.49.21.227 W004.34.51.678 N052.47.22.946 W004.29.30.630 geoDefault
N052.47.22.946 W004.29.30.630 N052.53.43.141 W004.13.44.390 geoDefault
N052.53.43.141 W004.13.44.390 N052.55.24.518 W004.01.46.258 geoDefault
N052.55.24.518 W004.01.46.258 N052.49.21.227 W003.59.47.976 geoDefault
N052.49.21.227 W003.59.47.976 N052.42.10.357 W003.59.47.976 geoDefault
N052.42.10.357 W003.59.47.976 N052.36.07.067 W003.59.05.734 geoDefault
N052.36.07.067 W003.59.05.734 N052.33.18.097 W003.57.49.698 geoDefault
N052.33.18.097 W003.57.49.698 N052.30.29.114 W003.51.12.611 geoDefault
N052.30.29.114 W003.51.12.611 N052.25.16.525 W003.55.51.416 geoDefault
N052.25.16.525 W003.55.51.416 N052.23.09.798 W003.57.07.452 geoDefault
N052.23.09.798 W003.57.07.452 N052.15.58.914 W004.02.28.501 geoDefault
