;CRYSTAL PALACE AND WROTHAM MASTS
(LFP324)   N050.58.25.869 E002.04.32.794 N050.58.15.450 E002.04.47.967
(LFP324)   N050.58.15.450 E002.04.47.967 N050.58.05.902 E002.05.04.525
(LFP324)   N050.58.05.902 E002.05.04.525 N050.57.57.298 E002.05.22.342
(LFP324)   N050.57.57.298 E002.05.22.342 N050.57.49.705 E002.05.41.284
(LFP324)   N050.57.49.705 E002.05.41.284 N050.57.43.179 E002.06.01.204
(LFP324)   N050.57.43.179 E002.06.01.204 N050.57.37.771 E002.06.21.953
(LFP324)   N050.57.37.771 E002.06.21.953 N050.57.33.521 E002.06.43.372
(LFP324)   N050.57.33.521 E002.06.43.372 N050.57.30.462 E002.07.05.298
(LFP324)   N050.57.30.462 E002.07.05.298 N050.57.28.617 E002.07.27.565
(LFP324)   N050.57.28.617 E002.07.27.565 N050.57.28.001 E002.07.50.002
(LFP324)   N050.57.28.001 E002.07.50.002 N050.57.28.617 E002.08.12.439
(LFP324)   N050.57.28.617 E002.08.12.439 N050.57.30.462 E002.08.34.705
(LFP324)   N050.57.30.462 E002.08.34.705 N050.57.33.521 E002.08.56.631
(LFP324)   N050.57.33.521 E002.08.56.631 N050.57.37.771 E002.09.18.050
(LFP324)   N050.57.37.771 E002.09.18.050 N050.57.43.179 E002.09.38.799
(LFP324)   N050.57.43.179 E002.09.38.799 N050.57.49.705 E002.09.58.720
(LFP324)   N050.57.49.705 E002.09.58.720 N050.57.57.298 E002.10.17.661
(LFP324)   N050.57.57.298 E002.10.17.661 N050.58.05.902 E002.10.35.478
(LFP324)   N050.58.05.902 E002.10.35.478 N050.58.15.450 E002.10.52.036
(LFP324)   N050.58.15.450 E002.10.52.036 N050.58.25.869 E002.11.07.209
(LFP324)   N050.58.25.869 E002.11.07.209 N050.58.37.081 E002.11.20.881
(LFP324)   N050.58.37.081 E002.11.20.881 N050.58.49.001 E002.11.32.948
