;Airport Boundary
N055.56.56.636 W003.20.51.953
N055.56.56.659 W003.20.52.672
N055.56.56.480 W003.20.53.172
N055.56.56.269 W003.20.53.522
N055.56.55.734 W003.20.54.242
N055.56.55.115 W003.20.54.835
N055.56.54.723 W003.20.55.121
N055.56.54.624 W003.20.55.158
N055.56.54.632 W003.20.54.948
N055.56.55.550 W003.20.50.400
N055.56.55.465 W003.20.50.343
N055.56.54.955 W003.20.48.627
N055.56.54.844 W003.20.48.288
N055.56.54.572 W003.20.48.135
N055.56.53.722 W003.20.52.204
N055.56.53.300 W003.20.53.932
N055.56.52.423 W003.20.51.174
N055.56.56.999 W003.20.37.631
N055.56.55.652 W003.20.36.183
N055.56.56.134 W003.20.34.733
;Stand_208_Grass
REGIONNAME Edinburgh
smrSCOGrass N055.57.02.277 W003.21.11.150
N055.57.02.157 W003.21.11.468
N055.57.02.018 W003.21.11.699
N055.57.00.185 W003.21.13.415
N055.56.59.993 W003.21.13.481
N055.56.59.749 W003.21.13.473
N055.56.59.553 W003.21.13.380
N055.56.59.338 W003.21.13.207
N055.56.59.127 W003.21.12.888
N055.56.58.930 W003.21.12.342
N055.56.57.784 W003.21.08.592
N055.57.00.452 W003.21.05.905
N055.57.00.633 W003.21.05.822
N055.57.00.794 W003.21.05.883
N055.57.00.963 W003.21.06.058
N055.57.02.255 W003.21.10.308
N055.57.02.306 W003.21.10.712
;Stand_210_Grass
REGIONNAME Edinburgh
smrSCOGrass N055.56.54.632 W003.20.57.952
N055.56.54.613 W003.20.57.561
N055.56.54.801 W003.20.57.129
N055.56.55.028 W003.20.56.723
N055.56.55.242 W003.20.56.439
N055.56.55.461 W003.20.56.168
N055.56.56.194 W003.20.55.453
N055.56.56.760 W003.20.55.115
N055.56.57.124 W003.20.55.002
N055.56.57.351 W003.20.55.002
N055.56.57.701 W003.20.55.422
N055.56.58.005 W003.20.55.989
N055.56.58.238 W003.20.56.593
N055.56.58.412 W003.20.57.159
N055.56.58.451 W003.20.57.121
N055.56.59.279 W003.20.59.887
N055.56.59.990 W003.20.59.179
N055.56.59.701 W003.20.58.263
N055.56.59.849 W003.20.58.127
N055.56.59.666 W003.20.57.518
N055.57.00.332 W003.20.56.894
N055.57.00.627 W003.20.58.507
N055.57.00.745 W003.20.59.400
N055.57.00.737 W003.21.00.003
N055.57.00.624 W003.21.00.633
N055.57.00.580 W003.21.00.985
N055.57.00.556 W003.21.03.704
N055.57.00.624 W003.21.04.479
N055.57.00.628 W003.21.04.743
N055.57.00.548 W003.21.05.064
N055.57.00.411 W003.21.05.260
N055.56.57.634 W003.21.08.063
N055.56.54.552 W003.20.58.040
;Equipment_Area
REGIONNAME Edinburgh
smrSCOTaxiway N055.56.53.371 W003.21.13.402
N055.56.50.732 W003.21.07.082
N055.56.50.539 W003.21.06.463
N055.56.50.613 W003.21.06.258
N055.56.49.811 W003.21.02.668
N055.56.50.800 W003.21.01.513
N055.56.52.298 W003.20.59.067
N055.56.52.654 W003.20.58.924
N055.56.53.039 W003.20.58.898
N055.56.53.269 W003.20.59.480
N055.56.53.544 W003.21.00.371
N055.56.53.588 W003.21.00.331
N055.56.56.502 W003.21.09.914
;G/H_Loop
REGIONNAME Edinburgh
smrSCOGrass N055.57.00.414 W003.21.28.156
N055.57.00.573 W003.21.28.698
N055.56.59.569 W003.21.29.742
N055.56.59.302 W003.21.29.962
N055.56.58.936 W003.21.30.177
N055.56.58.556 W003.21.30.285
N055.56.58.426 W003.21.30.213
N055.56.58.266 W003.21.30.142
N055.56.58.066 W003.21.29.892
N055.56.57.796 W003.21.29.373
N055.56.57.505 W003.21.28.712
N055.56.56.968 W003.21.27.221
N055.56.56.447 W003.21.25.762
N055.56.50.728 W003.21.07.078
N055.56.51.354 W003.21.06.493
N055.56.51.616 W003.21.06.541
N055.56.51.850 W003.21.06.841
N055.56.52.084 W003.21.07.392
N055.56.53.443 W003.21.11.884
N055.56.53.591 W003.21.12.217
N055.56.53.748 W003.21.12.389
N055.56.53.905 W003.21.12.440
N055.56.56.500 W003.21.09.898
N055.57.01.005 W003.21.24.610
;Stand_31_Grass
REGIONNAME Edinburgh
smrSCOGrass N055.56.54.159 W003.21.11.644
N055.56.54.029 W003.21.11.734
N055.56.53.890 W003.21.11.658
N055.56.53.722 W003.21.11.375
N055.56.53.470 W003.21.10.765
N055.56.52.799 W003.21.08.484
N055.56.52.155 W003.21.06.518
N055.56.51.989 W003.21.05.854
N055.56.52.153 W003.21.05.528
N055.56.53.052 W003.21.08.461
N055.56.55.380 W003.21.06.219
N055.56.56.342 W003.21.09.367
;Stand_32_Grass
REGIONNAME Edinburgh
smrSCOGrass N055.56.51.848 W003.21.05.462
N055.56.51.008 W003.21.02.690
N055.56.50.858 W003.21.02.370
N055.56.50.691 W003.21.02.225
N055.56.50.397 W003.21.02.256
N055.56.50.177 W003.21.02.444
N055.56.49.892 W003.21.02.749
N055.56.50.027 W003.21.03.252
N055.56.50.257 W003.21.03.033
N055.56.50.442 W003.21.02.963
N055.56.50.630 W003.21.03.038
N055.56.50.815 W003.21.03.356
N055.56.51.621 W003.21.05.963
N055.56.51.484 W003.21.05.916
N055.56.51.303 W003.21.05.948
N055.56.51.169 W003.21.06.032
N055.56.50.585 W003.21.06.604
N055.56.50.491 W003.21.06.355
N055.56.50.529 W003.21.06.312
